,threatInfo.threatId,threatInfo.threatName,threatInfo.classification,threatInfo.confidenceLevel,threatInfo.analystVerdict,threatInfo.createdAt,threatInfo.identifiedAt,threatInfo.updatedAt,indicatorList,indicatorListString,threatInfo.detectionType,action,threatInfo.sha1,engine
6699,1844905048868754802,ANONYMIZED,Malware,suspicious,true_positive,2023-12-21T11:37:00.160579Z,2023-12-21T11:36:44.012000Z,2023-12-21T12:06:07.952017Z,"[1, 31, 30, 29, 12]",1 12 29 30 31,static,quarantine,ANONYMIZED,On-Write Static AI - Suspicious
10978,1918644743008136185,ANONYMIZED,Malware,malicious,true_positive,2024-04-01T05:24:36.713250Z,2024-04-01T05:24:35.355000Z,2024-04-01T05:26:43.335726Z,"[1, 31, 32, 29, 33, 24, 15, 6]",1 6 15 24 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
5909,1800241046204812036,ANONYMIZED,Malware,suspicious,false_positive,2023-10-20T20:37:36.136319Z,2023-10-20T20:37:35.935000Z,2023-10-20T20:51:35.531112Z,"[171, 126, 796, 427]",126 171 427 796,dynamic,,ANONYMIZED,"Documents, Scripts"
12695,1935665788962167645,ANONYMIZED,Malware,malicious,true_positive,2024-04-24T17:02:23.508743Z,2024-04-24T17:02:22.874000Z,2024-04-24T17:39:20.552412Z,"[1, 31, 32, 29, 33, 24, 15, 6]",1 6 15 24 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
5493,1782604985656214351,ANONYMIZED,Malware,suspicious,false_positive,2023-09-26T12:37:53.888418Z,2023-09-26T12:37:53.829192Z,2023-09-26T12:45:04.635260Z,"[243, 688]",243 688,dynamic,,ANONYMIZED,Application Control
8072,1867311783375723251,ANONYMIZED,Malware,malicious,true_positive,2024-01-21T09:35:11.063803Z,2024-01-21T09:04:26.658000Z,2024-01-21T10:18:35.604793Z,"[1, 31, 29, 18, 12]",1 12 18 29 31,static,quarantine,ANONYMIZED,On-Write Static AI
2840,1690591027631475525,ANONYMIZED,Virus,suspicious,false_positive,2023-05-22T13:42:35.325035Z,2023-05-22T13:42:34.925000Z,2023-05-22T14:53:28.564446Z,"[32, 33, 12]",12 32 33,static,,ANONYMIZED,On-Write Static AI - Suspicious
4257,1726049793484801533,ANONYMIZED,Malware,suspicious,false_positive,2023-07-10T11:52:49.608480Z,2023-07-10T11:52:49.218000Z,2023-07-10T12:18:26.236408Z,"[41, 32, 29, 33]",29 32 33 41,static,,ANONYMIZED,On-Write Static AI - Suspicious
7899,1864905784586771107,ANONYMIZED,Infostealer,suspicious,false_positive,2024-01-18T01:54:53.657015Z,2024-01-18T01:54:50.939000Z,2024-01-18T03:27:53.288527Z,"[1076, 796, 427, 674, 171]",171 427 674 796 1076,dynamic,,ANONYMIZED,"Documents, Scripts"
11006,1918645038958258811,ANONYMIZED,Malware,malicious,true_positive,2024-04-01T05:25:11.993288Z,2024-04-01T05:25:11.755000Z,2024-04-01T05:27:22.128530Z,"[1, 31, 32, 29, 33, 24, 15, 6]",1 6 15 24 29 31 32 33,static,quarantine,ANONYMIZED,On-Write Static AI
